#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
75,"Landslide","Fleetwood Mac",83,159,"classic rock, yacht rock, soft rock","Rock, Pop","Fleetwood Mac",1975-07-11,03:19,41,16,88,0,42,0,10,-22,G minor,4,2025-10-05,5ihS6UUlyQAfmp48eSkxuQ,"Warner Records",6A,USWB19903197
76,"Sweetness","Jimmy Eat World",69,135,"emo, pop punk","Rock, Pop","Bleed American",2001-07-17,03:40,49,90,0,0,60,0,20,-4,F,4,2025-10-05,429IbFR4yp2J81CeTwF5iY,"Interscope",7B,USDW10110258
77,"PARADOX","MY FIRST STORY",36,130,"j-rock, j-pop, anime","Pop, Rock","PARADOX",2021-12-17,03:24,57,78,4,0,51,0,10,-5,G minor,4,2025-10-05,6V6ED9h3ps0gzcClRMxSKu,"INTACT RECORDS",6A,JPW462122161
78,"Body Paint","Arctic Monkeys",57,143,"indie, garage rock","Rock, Pop","The Car",2022-10-21,04:50,56,32,57,0,26,0,0,-12,G minor,4,2025-10-05,42GuKw49pPxNAkIhWGwgFs,"Domino Recording Co",6A,GBCEL2200516
79,"Come Over (Again)","Crawlers",57,93,"","","Crawlers - EP",2021-10-29,04:14,50,71,0,0,24,0,0,-8,D,4,2025-10-05,4PDJDIdWxNN1AlnbrKkoPf,"Lab Records",10B,GB8MX2100935
80,"Dear Maria, Count Me In - Japanese Version","Sunrise Skater Kids",40,90,"pop punk","Pop, Rock","Dear Maria, Count Me In (Japanese Version)",2021-11-19,03:02,55,90,0,0,63,0,20,-4,D,4,2025-10-05,0cQsu2wHTZmM5kHCjB8Yy6,"Chodezilla Records",10B,QZNWY2162103
81,"Falling to Pieces","Junior Doctor",0,120,"","","Clumsy Words and Bad Pickup Lines",2012-01-01,04:45,53,79,2,0,29,0,20,-5,D#/E♭,4,2025-10-05,6nzbXDHLOJjl121zYgEXW0,"Toucan Cove Entertainment",5B,US2G41200012
82,"How Do I Make You Love Me?","The Weeknd",67,121,"","","Dawn FM",2022-01-06,03:34,81,50,2,0,64,0,0,-8,G minor,4,2025-10-05,2Ghp894n1laIf2w98VeAOJ,"XO / Republic Records",6A,USUG12106683
83,"The Fisherman's Song (We All Need Love)","Mae",0,166,"christian alternative rock, emo","Christian, Rock","(m) (a) (e)",2017-02-14,08:21,44,90,1,0,30,0,10,-4,D#/E♭,4,2025-10-05,7f6rdylkaW1ki9gA0LfFON,"Tooth & Nail Records",5B,USTN10900673
84,"Steady, As She Goes","The Raconteurs",65,124,"garage rock, alternative rock","Rock","Broken Boy Soldiers",2006-05-15,03:35,53,58,1,1,54,10,10,-5,A,4,2025-10-05,4xlEKYv7HmC8zXoJIbpZKM,"Legacy Recordings",11B,USVT10600052
85,"I Just Threw Out The Love Of My Dreams","Weezer",71,130,"alternative rock","Rock","Pinkerton - Deluxe Edition",1996-09-24,02:37,41,97,0,0,28,10,10,-4,F#/G♭ minor,4,2025-10-05,35SRuRfp5BvD1yArmXKNHO,"Geffen",11A,USUM71021458
86,"What Happens After You?","Weezer",30,123,"alternative rock","Rock","SZNZ: Autumn",2022-09-22,03:19,65,61,1,0,54,0,30,-8,G minor,4,2025-10-05,5x7Ffxc1Obg13x5IzM1XXV,"Crush Music/Atlantic",6A,USAT22214224
87,"Pink Triangle","Weezer",64,119,"alternative rock","Rock","Pinkerton",1996-09-24,03:58,28,89,1,0,47,0,30,-5,F#/G♭,4,2025-10-05,6qQGxKyy6LcyZVsWn93lyS,"DGC",2B,USGF19600708
88,"My Famed Disappearing Act","Thank You Scientist",0,170,"progressive metal, progressive rock, math rock, djent, jazz fusion","Metal, Electronic, Jazz, Rock","Maps of Non-Existent Places",2014-09-30,05:43,39,92,1,0,43,0,30,-3,G#/A♭,4,2025-10-05,3UKANPBT62yO4J381vCe9R,"Evil Ink Records",4B,QMMTR1400050
89,"Lake Effect Kid","Fall Out Boy",41,142,"emo, pop punk","Rock, Pop","Lake Effect Kid",2018-08-23,03:40,57,95,1,0,66,0,30,-2,F,4,2025-10-05,0UvVZwaKrd4JRXS03D59p0,"Island Records",7B,USUM71812260
90," From Now On We Are Enemies ","Fall Out Boy",44,160,"emo, pop punk","Rock, Pop","Believers Never Die - Greatest Hits",2009-01-01,03:36,46,97,0,0,36,20,0,-4,G,4,2025-10-05,2hC4LPebn0xctVGsVPOwJX,"Island Records",9B,USUM70903534
91,"Operator Error","We Are Scientists",15,150,"indie rock","Rock","Lobes",2023-01-20,02:36,51,84,0,0,69,0,0,-4,G minor,4,2025-10-05,53wcqwMmmWJFlCAhyQA9IP,"Masterswan Recordings",6A,GB2YG2200018
92,"Human Resources","We Are Scientists",12,136,"indie rock","Rock","Lobes",2023-01-20,03:59,53,88,1,0,60,10,10,-4,G#/A♭,4,2025-10-05,6lSjEhHATVoutLzwFgmDIa,"Masterswan Recordings",4B,GB2YG2200020
93,"Rabbit Heart (Raise It Up)","Florence + The Machine",26,117,"baroque pop","Classical, Pop","Lungs",2009-01-01,03:52,63,87,7,0,44,0,20,-3,A minor,4,2025-10-05,49B24HYYfECzzbJzCTAkpa,"Universal-Island Records Ltd.",8A,GBUM70903474
94,"My Kink Is Karma","Chappell Roan",76,87,"","","The Rise and Fall of a Midwest Princess",2023-09-21,03:42,56,60,1,0,42,0,10,-6,D,4,2025-10-05,3bFC4mJkgF9HvTU1mncW7x,"Chappell Roan PS/ Island",10B,USUG12302737
95,"Of Moons, Birds & Monsters","MGMT",52,124,"indie","Pop, Rock","Oracular Spectacular",2007-12-14,04:46,60,90,2,1,40,0,0,-4,C♯/D♭ minor,4,2025-10-05,0w8dULoVhTuC8x8m8PKwX7,"Red Ink/Columbia",12A,USSM10702134
96,"Bad Moon Rising","Creedence Clearwater Revival",79,179,"classic rock, southern rock, country rock","Rock, Country","Green River (Expanded Edition)",1969-08-03,02:21,51,77,6,0,94,0,0,-6,D,4,2025-10-05,20OFwXhEXf12DzwXmaV7fj,"Craft Recordings",10B,USC4R0817604
97,"King Of The World","Young Rising Sons",43,123,"folk pop","Folk, Pop","Young Rising Sons",2014-07-08,03:24,60,90,5,0,57,10,10,-5,G,4,2025-10-05,4GuzyfGbR2y4L65ONTw1dk,"UMGRI Interscope",9B,USUM71409764
98,"Funeral For A Friend / Love Lies Bleeding - Remastered 2014","Elton John",50,139,"","","Goodbye Yellow Brick Road (Remastered)",1973-10-05,11:06,40,76,2,17,20,0,20,-9,A minor,4,2025-10-05,5NERbS7923kF471NLKDZkB,"UMC (Universal Music Catalogue)",8A,GBUM71304953
99,"It's Only Wednesday","Crash Kings",32,179,"","","Crash Kings",2009-01-01,03:04,40,78,4,0,56,0,10,-4,C♯/D♭,4,2025-10-05,26MEeaO5tkVJmOG7ZVgVap,"Custard/Universal Motown Records",3B,USUM70962243
100,"Thought Contagion","Muse",56,140,"alternative rock, rock","Rock","Simulation Theory (Super Deluxe)",2018-11-09,03:26,48,76,0,0,38,0,0,-4,F,4,2025-10-05,57lCa95tmjJ8EYdNTex8Kk,"Warner Records",7B,GBAHT1800045
101,"Cemetery Drive","My Chemical Romance",67,116,"emo, pop punk","Rock, Pop","Three Cheers for Sweet Revenge",2004-06-08,03:08,55,89,0,0,66,0,0,-5,C♯/D♭ minor,4,2025-10-05,2cViIXIe8Pbd1sOJExMJlK,"Reprise",12A,USRE10400667
102,"Bat Out of Hell","Meat Loaf",60,172,"","","Bat Out Of Hell",1977-10-21,09:50,20,84,28,0,39,0,20,-8,F,4,2025-10-05,3mCeeoBvTTpg8Xy2Wuvirw,"Cleveland International/ Epic/Legacy",7B,USSM11206824
103,"Not Today","Twenty One Pilots",62,115,"","","Blurryface",2015-05-15,03:58,77,71,6,0,53,0,10,-5,D,4,2025-10-05,7qxjGHW485TL8ciwkHD5MK,"Fueled By Ramen",10B,USAT21500606
104,"Second Boys Will Be First Choice (Radio Version)","The Brobecks",40,100,"","","Violent Things",2009-04-25,03:15,52,86,2,0,46,0,30,-7,C♯/D♭ minor,4,2025-10-05,7tOjifyNGd0iHaNrsPHaSD,"None, You Jerk",12A,USTC90933483
105,"Song 2 - 2012 Remaster","Blur",79,130,"britpop, madchester, alternative rock","Rock, Pop","Blur (Special Edition)",1997-02-10,02:01,67,79,0,1,92,0,0,-7,G#/A♭,4,2025-10-05,1FTSo4v6BOZH9QxKc3MbVM,"Parlophone UK",4B,GBAYE1200348
106,"Hitchin' a Ride","Green Day",62,164,"punk, pop punk","Pop, Rock","Nimrod",1997-10-14,02:51,42,92,0,1,68,10,10,-5,A,4,2025-10-05,6WlmA3HPHuNIR2mxI8LkZF,"Reprise",11B,USRE19700487
107,"Blonde","Waterparks",44,137,"pop punk","Pop, Rock","Entertainment",2018-01-26,03:20,58,93,1,0,54,10,0,-4,G,4,2025-10-05,6Donz2zn7kxsRyA7g5l158,"Equal Vision Records",9B,US3X51739602
108,"Time And Fallen Leaves","AKMU",45,97,"k-ballad, k-pop","Pop","Time And Fallen Leaves",2014-10-10,04:07,36,23,83,0,12,0,10,-9,A,4,2025-10-05,5Qy4FxZ6FtNwWmRaLi6Fcu,"YG Entertainment",11B,KRA401400114
109,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",81,93,"","","Red (Taylor's Version)",2021-11-12,10:13,63,52,27,0,21,0,0,-9,C,4,2025-10-05,5enxwA8aAbwZbf5qCHORXi,"Taylor Swift",8B,USUG12103690
110,"Everlong","Foo Fighters",84,158,"rock, post-grunge, alternative rock, grunge","Rock","The Colour And The Shape",1997-05-20,04:10,41,88,0,0,36,0,0,-6,B minor,4,2025-10-05,5UWwZ5lm5PKu6eKsHAGxOk,"RCA Records Label",10A,USRW29600011
111,"Disenchanted","My Chemical Romance",74,174,"emo, pop punk","Rock, Pop","The Black Parade",2006-10-20,04:55,34,69,0,0,15,0,10,-4,D,4,2025-10-05,6T7MAQCekVb3UnCykjX3BP,"Reprise",10B,USRE10602913
112,"Don't Try","Gerard Way",49,105,"","","Pinkish / Don't Try",2016-04-16,05:06,43,88,0,14,12,0,10,-3,E,4,2025-10-05,28u3vSLy2OyVsZOlIAR6ba,"Reprise",12B,USRE11700605
113,"eight(Prod.&Feat. SUGA of BTS)","IU, SUGA",66,120,"k-pop, k-ballad","Pop","eight",2020-05-06,02:47,68,87,12,0,59,0,10,-2,C♯/D♭,4,2025-10-05,0pYacDCZuRhcrwGUA5nTBe,"EDAM Entertainment",3B,KRA382001418
114,"Underdog","You Me At Six",52,156,"pop punk","Pop, Rock","Hold Me Down",2010-01-01,02:23,38,96,0,0,79,0,0,-4,C♯/D♭,4,2025-10-05,4GMCZUi6cVQJ5wPWwJ36rW,"Virgin Records",3B,GBAAA0900856
115,"Karma Police","Radiohead",81,75,"art rock, alternative rock","Rock","OK Computer",1997-05-28,04:24,36,50,6,0,32,0,10,-9,G,4,2025-10-05,63OQupATfueTdZMWTxW03A,"XL Recordings",9B,GBAYE9701368
116,"Iris","The Goo Goo Dolls",92,156,"","","Dizzy up the Girl",1998-00-00,04:49,32,72,0,0,50,0,0,-8,B minor,3,2025-10-05,6Qyc6fS4DsZjB2mRW9DsQs,"Warner Records",10A,USWB19800160
117,"Sweater Weather","The Neighbourhood",91,124,"","","I Love You.",2013-04-22,04:00,61,81,5,2,40,0,10,-3,A#/B♭,4,2025-10-05,2QjOHCTQ1Jl3zawyYOpxh6,"Columbia",6B,USSM11300080
118,"Flathead","The Fratellis",42,105,"","","Costello Music",2007-01-01,03:17,60,95,1,0,29,10,30,-5,C,4,2025-10-05,5t1Eqjxu93ub0LiTgxZQOB,"Interscope",8B,GBUM70601746
119,"Miles and States","Abandoning Sunday",28,167,"","","Forget",2012-01-17,04:12,42,94,0,0,53,0,10,-4,A,4,2025-10-05,2mSToRZIaYIw1va4PHtWKq,"Abandoning Sunday",11B,TCABD1221519
120,"VOICE","TAEYEON",39,160,"k-pop, k-ballad","Pop","VOICE",2019-05-13,03:11,51,82,22,0,64,0,20,-4,D,4,2025-10-05,1esVK0wgkpFJ31eHvHZ7M9,"SM Entertainment",10B,JPPO01901725
121,"Angel With A Shotgun","The Cab",41,124,"","","Symphony Soldier",2011-00-00,03:41,55,84,1,0,40,0,30,-5,D,4,2025-10-05,49rpdsNYJirTTf6p6mMvag,"Republic Records",10B,USUM71300669
122,"Holiday / Boulevard of Broken Dreams","Green Day",72,167,"punk, pop punk","Pop, Rock","American Idiot",2004-09-21,08:13,29,83,0,0,45,0,30,-3,G#/A♭,4,2025-10-05,0MsrWnxQZxPAcov7c74sSo,"Reprise",4B,USRE10401218
123,"Lost It To Trying","Son Lux",0,160,"","","Lanterns",2013-10-29,04:42,44,83,8,4,27,0,0,-7,E minor,4,2025-10-05,3u0YrIxyHwmJjxMuYJocsf,"This Is Meru",9A,USJZA1312602
124,"Without You (Feat. ROSE)","G-DRAGON, ROSÉ",66,124,"k-pop, k-rap","Pop, Hip Hop","One of a Kind",2012-09-15,04:02,60,68,3,0,33,0,30,-7,B,4,2025-10-05,3V375E3xldRPEEcIKiw83l,"YG Entertainment",1B,KRA341211594
125,"I Don't Wanna Be In Love (Dance Floor Anthem)","Good Charlotte",62,125,"pop punk, punk, emo","Rock, Pop","Good Morning Revival",2007-03-27,04:04,64,88,2,0,57,0,10,-3,F#/G♭,4,2025-10-05,36UVZPoK8a1Oxh13cY8kOp,"Epic/Daylight",2B,USSM10607447
126,"City Walls","Twenty One Pilots",81,94,"","","Breach",2025-09-12,05:22,55,86,1,0,27,0,30,-5,B minor,4,2025-10-05,0Ji9UonfwC90rbZ4IaQhOb,"Fueled By Ramen",10A,USAT22505499
127,"Pet Cheetah","Twenty One Pilots",63,110,"","","Trench",2018-10-05,03:18,65,68,6,0,36,20,20,-7,G minor,4,2025-10-05,7daBwTiPNOVgoMUG4SICgh,"Fueled By Ramen",6A,USAT21810693
128,"It's Almost Halloween","Jon Walker",23,97,"","","It's Almost Halloween",2020-10-22,03:56,50,40,30,1,15,0,0,-9,A minor,4,2025-10-05,2MSlZoJJfeR2kZGVVn51OM,"Jon Walker Music",8A,QZNWQ2014195
129,"Only Happy When It Rains","Garbage",45,121,"","","Garbage (20th Anniversary Edition/Remastered)",1995-00-00,03:56,51,83,0,0,49,0,20,-5,C♯/D♭ minor,4,2025-10-06,7qLrnU1nFhi41t1HcC7bkD,"Almo Sounds",12A,USGF19500403
130,"Diazepam","Turnover",48,110,"midwest emo, dream pop, pop punk","Pop, Rock","Peripheral Vision",2015-09-04,03:19,63,68,46,0,28,0,0,-8,G,4,2025-10-06,6tglZj0JTKa8jQM2JjdkNr,"Run For Cover Records",9B,QMCE71300250
131,"Sleep","My Chemical Romance",63,156,"emo, pop punk","Rock, Pop","The Black Parade",2006-10-20,04:43,19,95,0,0,15,20,30,-4,C,4,2025-10-06,2pONuBYwWrNm9jcJH6hmPc,"Reprise",8B,USRE10602911
132,"Spaceman","The Killers",63,152,"alternative rock","Rock","Day & Age (Bonus Tracks)",2008-11-18,04:44,53,90,0,0,80,0,10,-5,E,4,2025-10-06,1A8SxnqRK3qabmuN2qxIpa,"Island Records",12B,USUM70842814
133,"Brighton Rock - Remastered 2011","Queen",30,138,"classic rock, rock, glam rock","Rock","Sheer Heart Attack",1974-11-08,05:10,35,84,36,1,35,30,70,-9,B minor,4,2025-10-06,4NnBKv54Vdd2BzD54vVNci,"Hollywood Records",10A,GBUM71100517
134,"Fuckin With My Head (Mountain Dew Rock)","Beck",38,82,"anti-folk","Folk","Mellow Gold",1994-03-01,03:39,66,81,1,5,59,20,20,-8,G,4,2025-10-06,69Om1tpdp5JxrtgqKqdiAY,"DGC",9B,USGF19463403
135,"The Stranger","Billy Joel",51,92,"soft rock","Rock","The Stranger",1977-09-29,05:10,66,88,17,0,22,0,0,-7,E minor,4,2025-10-06,6ByRaaLxtbMFyIzQob2nDT,"Columbia",9A,USSM17700370
136,"Mardy Bum","Arctic Monkeys",0,112,"indie, garage rock","Rock, Pop","Whatever People Say I Am, That's What I'm Not",2006-02-21,02:55,63,60,3,0,31,0,20,-5,D,4,2025-10-06,3geFzA6VBSNZUTmV3bCry6,"Domino Recording Co",10B,GBCEL0501188
137,"Walk This Way","Aerosmith",5,109,"classic rock, rock","Rock","Toys In The Attic",1975-04-08,03:40,65,73,1,0,89,0,0,-11,F,4,2025-10-06,5SZ6zX4rOrEQferfFC2MfP,"Columbia",7B,USSM19906481
138,"Feeling Sorry","Paramore",52,196,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,03:05,40,93,0,0,65,0,0,-4,C♯/D♭ minor,3,2025-10-06,2F9JloTNvfkIvwXJP0bZUO,"Fueled By Ramen",12A,USAT20902324
139,"Take Back The Power","The Interrupters",55,185,"ska punk, ska, punk, skate punk","Rock, Reggae","The Interrupters (Deluxe Edition)",2014-08-05,03:20,38,97,14,0,68,10,10,0,B,4,2025-10-06,6aPyTOZZheIVT5q1TVlRYD,"Hellcat/Epitaph",1B,USHEL1401001
140,"Two Princes","Spin Doctors",72,104,"","","Pocket Full Of Kryptonite (Anniversary Edition)",1991-00-00,04:16,54,91,0,0,83,0,0,-11,G,4,2025-10-06,0cuq829zRNq4AEdmDJA4aw,"Epic/Legacy",9B,USSM19000350
141,"That Green Gentleman (Things Have Changed)","Panic! At The Disco",51,96,"emo","Rock","Pretty. Odd.",2008-03-21,03:15,54,80,10,0,40,0,10,-6,A#/B♭,4,2025-10-06,2d1D1E8M48hHE99u6BO8RN,"Decaydance/Fueled By Ramen/ATL",6B,USAT20801308
142,"Nobody Puts Baby In The Corner","Fall Out Boy",56,102,"emo, pop punk","Rock, Pop","From Under The Cork Tree",2005-05-03,03:20,53,94,0,0,65,0,30,-4,C,4,2025-10-06,6HJzCcSMggn7Ultxs48dAe,"Island Records",8B,USIR20500327
143,"Misery Business","Paramore",76,173,"pop punk, emo","Rock, Pop","Riot!",2007-06-12,03:31,52,91,0,0,73,0,10,-4,C♯/D♭,4,2025-10-06,6SpLc7EXZIPpy0sVko0aoU,"Fueled By Ramen",3B,USAT20702617
144,"Holland, 1945","Neutral Milk Hotel",54,198,"anti-folk, folk punk","Folk, Rock","In the Aeroplane Over the Sea",1998-02-20,03:12,6,89,4,0,48,0,60,-4,G,4,2025-10-06,64DpBZj4IlDFzCwxTq7azl,"Merge Records",9B,USMRG0316020
145,"My Tears Are Becoming A Sea","M83",61,49,"","","Hurry Up, We're Dreaming",2011-00-00,02:31,19,38,11,39,7,0,50,-11,E,3,2025-10-06,1Fwj0wThn3kTg8D7KgWdsU,"Mute",12B,GB55H1100012
146,"Actually Romantic","Taylor Swift",93,170,"","","The Life of a Showgirl",2025-10-03,02:43,71,43,50,0,72,10,10,-8,C♯/D♭ minor,4,2025-10-06,2x3mwb96B6TquRqMtbxUE1,"Taylor Swift",12A,USUG12506442
147,"Should I Stay","GABRIELLE",36,140,"uk garage","Electronic","Rise",2001-01-01,03:55,57,62,55,0,24,0,0,-9,F,4,2025-10-06,4tCxd0Cw3YXTKwMBmYZQdc,"Universal-Island Records Ltd.",7B,GBARA9900031
148,"Light On","Maggie Rogers",70,102,"","","Heard It In A Past Life",2019-01-18,03:53,66,57,20,0,40,0,10,-6,D,4,2025-10-06,6UnCGAEmrbGIOSmGRZQ1M2,"Capitol Records",10B,USUG11801654
149,"As If It's Your Last","BLACKPINK",76,125,"k-pop","Pop","As If It's Your Last",2017-06-22,03:33,79,85,7,0,46,0,0,-3,G#/A♭,4,2025-10-06,4ZxOuNHhpyOj4gv52MtQpT,"YG Entertainment",4B,KRA401700174
150,"bury a friend","Billie Eilish",74,120,"","","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,03:13,91,39,74,16,20,30,10,-15,G#/A♭,4,2025-10-06,4SSnFejRGlZikf02HLewEF,"Darkroom/Interscope Records",4B,USUM71900770
151,"Wake Up","Arcade Fire",62,139,"indie rock, baroque pop","Classical, Pop, Rock","Funeral",2004-06-16,05:35,25,80,12,5,29,0,10,-5,C,4,2025-10-06,6Hmj7SrLRbreLVfVS7mV1S,"Sony Music CG",8B,USMRG0467008
152,"It's Not a Fashion Statement, It's a Deathwish","My Chemical Romance",62,105,"emo, pop punk","Rock, Pop","Three Cheers for Sweet Revenge",2004-06-08,03:30,35,95,0,0,48,0,30,-4,C♯/D♭ minor,4,2025-10-06,4fGIqy3bvjX0jz1SJHqjjo,"Reprise",12A,USRE10400666
153,"Lovers in Japan","Coldplay",52,118,"","","Viva La Vida or Death and All His Friends",2008-06-06,06:51,20,73,4,70,7,0,20,-8,G,4,2025-10-06,5qPGi9p8VqcizfdgWxtmLt,"Parlophone UK",9B,GBAYE0800256